ProjectName,Context,DepositType,UnitType,DAACSPhase,Count,ArtifactType,ArtifactCategory
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,42,"Shell, clam",General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,7,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,7,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,2,Strapping,General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,7,Unidentified,General Artifacts
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,7,"Bottle, Wine style",Glass
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,4,Unidentifiable,Glass
Stewart Castle Village,003CLEANUP,Clean-Up/Out-of-Stratigraphic Context,Quadrat/Unit,P01,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Bead, Faceted",Bead
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Buckle, Knee",Buckle
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,3,"Button, 1 Piece",Button
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Button, Blank/Mold",Button
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,British Stoneware,Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Coarse Earthenware, unidentified",Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,41,Creamware,Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Delftware, Dutch/British",Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,21,Pearlware,Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,4,Redware,Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Refined Earthenware, unidentifiable",Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Whiteware,Ceramic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,2,Bird,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,561,Bony Fish,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,2,Chicken,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Cowfish or Trunkfish,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,14,Domestic Pig,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,4,Domestic Sheep or Goat,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,26,Grouper,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,28,Grunt,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,13,Herring,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,3,Jack,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,16,Land Crabs,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,25,Land Hermit Crabs,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,7,Large Mammal,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,48,Medium Mammal,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Mullet,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,7,Parrotfish,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,2,Porgy,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,81,Sea Bass,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Sergeant Major,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,5,"Sheep, Goat, Deer, or Pig",Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,25,Snapper,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Spiny Lobster,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,64,Squirrel Fish,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,3,Sturgeonfish,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,11,Triggerfish,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Yellowtail Snapper,Faunal
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Barrel Hoop,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,3,Brick/Daub,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,10,Casting Waste,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,13,Charcoal,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,7,Corrosion/Rust,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,2,"File, triangular",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Horseshoe,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Jewelry, other",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Key, lock",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Knife, folding",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Latch,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,10,"Mortar, architectural",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,301,Nail,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,2,"Ring, unidentified",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,Scrap/Waste,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,78,Sheeting,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Shell, chiton segment",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,229,"Shell, clam",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,18,"Shell, conch",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,11,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,155,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Shell, Scotch bonnet",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,28,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,4,Slag,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Slate, architectural",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,14,"Slate, unidentified",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,6,Strapping,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Tack, upholstery",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,6,Unidentified,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Weight, fishing",General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,5,Wire,General Artifacts
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,4,"Bottle/Vial, Pharmaceutical",Glass
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,61,"Bottle, Wine style",Glass
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,25,Unidentifiable,Glass
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,5,FCR,Lithic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,3,Flake,Lithic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,2,"Flake, cortical",Lithic
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Tobacco Pipe, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,3,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Tobacco Pipe, Stem, Base, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,003D,Fill,Quadrat/Unit,P01,1,"Utensil, Spoon, 1 Piece",Utensil
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,"Bead, Faceted",Bead
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,"Coarse Earthenware, unidentified",Ceramic
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,Creamware,Ceramic
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,Bird,Faunal
Stewart Castle Village,003E,Fill,Quadrat/Unit,,13,Bony Fish,Faunal
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,Domestic Pig,Faunal
Stewart Castle Village,003E,Fill,Quadrat/Unit,,3,Grouper,Faunal
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,Herring,Faunal
Stewart Castle Village,003E,Fill,Quadrat/Unit,,2,Medium Mammal,Faunal
Stewart Castle Village,003E,Fill,Quadrat/Unit,,3,Sea Bass,Faunal
Stewart Castle Village,003E,Fill,Quadrat/Unit,,2,Charcoal,General Artifacts
Stewart Castle Village,003E,Fill,Quadrat/Unit,,8,Corrosion/Rust,General Artifacts
Stewart Castle Village,003E,Fill,Quadrat/Unit,,9,Nail,General Artifacts
Stewart Castle Village,003E,Fill,Quadrat/Unit,,10,"Shell, clam",General Artifacts
Stewart Castle Village,003E,Fill,Quadrat/Unit,,16,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,Sugar Nippers,General Artifacts
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,FCR,Lithic
Stewart Castle Village,003E,Fill,Quadrat/Unit,,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,003F,Fill,Quadrat/Unit,,2,Pearlware,Ceramic
Stewart Castle Village,003F,Fill,Quadrat/Unit,,1,Redware,Ceramic
Stewart Castle Village,003F,Fill,Quadrat/Unit,,4,Bony Fish,Faunal
Stewart Castle Village,003F,Fill,Quadrat/Unit,,1,Grouper,Faunal
Stewart Castle Village,003F,Fill,Quadrat/Unit,,1,Medium Mammal,Faunal
Stewart Castle Village,003F,Fill,Quadrat/Unit,,1,Sea Bass,Faunal
Stewart Castle Village,003F,Fill,Quadrat/Unit,,3,Charcoal,General Artifacts
Stewart Castle Village,003F,Fill,Quadrat/Unit,,5,Nail,General Artifacts
Stewart Castle Village,003F,Fill,Quadrat/Unit,,2,"Shell, clam",General Artifacts
Stewart Castle Village,003F,Fill,Quadrat/Unit,,2,"Slate, unidentified",General Artifacts
Stewart Castle Village,003F,Fill,Quadrat/Unit,,1,Unidentified,General Artifacts
Stewart Castle Village,003F,Fill,Quadrat/Unit,,1,"Tobacco Pipe, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,3-BKSIGHT,Not Applicable,STP,,2,Creamware,Ceramic
Stewart Castle Village,3-BKSIGHT,Not Applicable,STP,,1,Charcoal,General Artifacts
Stewart Castle Village,3-BKSIGHT,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-BKSIGHT,Not Applicable,STP,,1,"Shell, conch",General Artifacts
Stewart Castle Village,3-BKSIGHT,Not Applicable,STP,,1,"Utensil, 2 Piece: Unid",Utensil
Stewart Castle Village,3-DATUM,Not Applicable,STP,,1,"Mortar, architectural",General Artifacts
Stewart Castle Village,3-DATUM,Not Applicable,STP,,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,3-DATUM,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-DATUM,Not Applicable,STP,,2,"Stone, unidentified",Lithic
Stewart Castle Village,3-K-01,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-K-02,Not Applicable,STP,,1,Nail,General Artifacts
Stewart Castle Village,3-K-02,Not Applicable,STP,,1,Rat Trap,General Artifacts
Stewart Castle Village,3-K-03,Not Applicable,STP,,2,Window Glass,General Artifacts
Stewart Castle Village,3-K-03,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-K-04,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-K-04,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-K-04,Not Applicable,STP,,6,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-05,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-K-05,Not Applicable,STP,,1,Strapping,General Artifacts
Stewart Castle Village,3-K-06,Not Applicable,STP,,3,Creamware,Ceramic
Stewart Castle Village,3-K-06,Not Applicable,STP,,1,Charcoal,General Artifacts
Stewart Castle Village,3-K-06,Not Applicable,STP,,6,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-06,Not Applicable,STP,,4,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-K-06,Not Applicable,STP,,9,Unidentified,General Artifacts
Stewart Castle Village,3-K-06,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,1,British Stoneware,Ceramic
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,28,Creamware,Ceramic
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,9,Pearlware,Ceramic
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,2,Redware,Ceramic
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,1,"Refined Earthenware, unidentifiable",Ceramic
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,1,"Slipware, North Midlands/Staffordshire",Ceramic
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,4,Whiteware,Ceramic
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,2,Domestic Pig,Faunal
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,27,Nail,General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,2,Rat Trap,General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,1,Scrap/Waste,General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,154,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,3,"Shell, conch",General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,3,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,4,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,23,Unidentified,General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,1,"Weight, fishing",General Artifacts
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,3,"Bottle, Wine style",Glass
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,1,Unidentifiable,Glass
Stewart Castle Village,3-K-07,Not Applicable,STP,P01,4,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,1,"Bead, Barrel",Bead
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,2,Creamware,Ceramic
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,2,Pearlware,Ceramic
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,1,Redware,Ceramic
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,1,White Salt Glaze,Ceramic
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,1,Medium Mammal,Faunal
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,1,Can,General Artifacts
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,4,Charcoal,General Artifacts
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,3,Nail,General Artifacts
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,20,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,2,Strapping,General Artifacts
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,2,Unidentified,General Artifacts
Stewart Castle Village,3-K-08,Not Applicable,STP,P01,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-K-09,Not Applicable,STP,,1,British Stoneware,Ceramic
Stewart Castle Village,3-K-09,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-K-09,Not Applicable,STP,,9,"Shell, unid.",General Artifacts
Stewart Castle Village,3-K-09,Not Applicable,STP,,2,"Bottle, Wine style",Glass
Stewart Castle Village,3-K-10,Not Applicable,STP,,3,Nail,General Artifacts
Stewart Castle Village,3-K-10,Not Applicable,STP,,7,Wood,General Artifacts
Stewart Castle Village,3-K-11,Not Applicable,STP,,2,Charcoal,General Artifacts
Stewart Castle Village,3-K-11,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-K-11,Not Applicable,STP,,2,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-11,Not Applicable,STP,,2,Window Glass,General Artifacts
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,5,British Brown/Fulham Type,Ceramic
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,1,"Caribbean Coarse Earthenware, unid.",Ceramic
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,7,Creamware,Ceramic
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,2,Spanish Coarse Earthenware,Ceramic
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,1,Even-Toed Ungulate,Faunal
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,3,Nail,General Artifacts
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,12,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,1,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,33,"Bottle, Wine style",Glass
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,1,"Container, unidentifiable",Glass
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,1,Stemware,Glass
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,2,Unidentifiable,Glass
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,2,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-K-12,Not Applicable,STP,P01,2,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-K-13,Not Applicable,STP,P02,1,Creamware,Ceramic
Stewart Castle Village,3-K-13,Not Applicable,STP,P02,9,Pearlware,Ceramic
Stewart Castle Village,3-K-13,Not Applicable,STP,P02,1,Brick Fragment,General Artifacts
Stewart Castle Village,3-K-13,Not Applicable,STP,P02,1,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-13,Not Applicable,STP,P02,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-K-13,Not Applicable,STP,P02,3,Unidentified,General Artifacts
Stewart Castle Village,3-K-13,Not Applicable,STP,P02,1,Unidentifiable,Glass
Stewart Castle Village,3-K-14,Not Applicable,STP,,6,Nail,General Artifacts
Stewart Castle Village,3-K-14,Not Applicable,STP,,3,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-14,Not Applicable,STP,,1,"Shell, unid.",General Artifacts
Stewart Castle Village,3-K-15,Not Applicable,STP,,1,Nail,General Artifacts
Stewart Castle Village,3-K-16,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-K-16,Not Applicable,STP,,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-K-18,Not Applicable,STP,,3,Creamware,Ceramic
Stewart Castle Village,3-K-18,Not Applicable,STP,,1,Nail,General Artifacts
Stewart Castle Village,3-K-18,Not Applicable,STP,,3,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-18,Not Applicable,STP,,1,Unidentifiable,Glass
Stewart Castle Village,3-K-19,Not Applicable,STP,,1,Medium Mammal,Faunal
Stewart Castle Village,3-K-19,Not Applicable,STP,,14,Nail,General Artifacts
Stewart Castle Village,3-K-19,Not Applicable,STP,,24,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-19,Not Applicable,STP,,1,"Shell, conch",General Artifacts
Stewart Castle Village,3-K-19,Not Applicable,STP,,1,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-K-19,Not Applicable,STP,,1,"Tack, upholstery",General Artifacts
Stewart Castle Village,3-K-19,Not Applicable,STP,,5,Unidentified,General Artifacts
Stewart Castle Village,3-K-19,Not Applicable,STP,,1,"Bottle, Wine style",Glass
Stewart Castle Village,3-K-19,Not Applicable,STP,,1,"Tobacco Pipe, Bowl, Rim",Tobacco Pipe
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,5,Creamware,Ceramic
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,2,Pearlware,Ceramic
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,1,Mammal,Faunal
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,14,Nail,General Artifacts
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,1,Sheeting,General Artifacts
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,17,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,4,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,7,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,6,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,3-K-20,Not Applicable,STP,P01,2,"Bottle, Wine style",Glass
Stewart Castle Village,3-K-21,Not Applicable,STP,,4,Creamware,Ceramic
Stewart Castle Village,3-K-21,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-K-21,Not Applicable,STP,,1,Brick Fragment,General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,1,Charcoal,General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,8,"Mortar, architectural",General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,6,Nail,General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,19,"Shell, clam",General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,2,"Shell, unid.",General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,1,Strapping,General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,3,Unidentified,General Artifacts
Stewart Castle Village,3-K-21,Not Applicable,STP,,1,Unidentifiable,Glass
Stewart Castle Village,3-K-21,Not Applicable,STP,,1,"Tobacco Pipe, Bowl Fragment",Tobacco Pipe
Stewart Castle Village,3-L-01,Not Applicable,STP,,1,Unidentified,General Artifacts
Stewart Castle Village,3-L-02,Not Applicable,STP,,2,Strapping,General Artifacts
Stewart Castle Village,3-L-04,Not Applicable,STP,,1,Creamware,Ceramic
Stewart Castle Village,3-L-04,Not Applicable,STP,,1,Redware,Ceramic
Stewart Castle Village,3-L-04,Not Applicable,STP,,4,Nail,General Artifacts
Stewart Castle Village,3-L-04,Not Applicable,STP,,1,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-04,Not Applicable,STP,,1,Strapping,General Artifacts
Stewart Castle Village,3-L-04,Not Applicable,STP,,3,Unidentified,General Artifacts
Stewart Castle Village,3-L-04,Not Applicable,STP,,1,"Bottle, Unidentifiable",Glass
Stewart Castle Village,3-L-04,Not Applicable,STP,,5,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-04,Not Applicable,STP,,1,"Tobacco Pipe, Stem",Tobacco Pipe
Stewart Castle Village,3-L-05,Not Applicable,STP,,2,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-05,Not Applicable,STP,,1,Strapping,General Artifacts
Stewart Castle Village,3-L-05,Not Applicable,STP,,4,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,"Button, Blank/Mold",Button
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,8,Creamware,Ceramic
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,2,Pearlware,Ceramic
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,"Porcelain, Chinese",Ceramic
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,"Refined Earthenware, unidentifiable",Ceramic
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,Grouper,Faunal
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,2,Medium Mammal,Faunal
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,2,Sea Bass,Faunal
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,5,Charcoal,General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,8,Nail,General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,57,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,5,"Shell, conch",General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,"Shell, marine gastropod, unid.",General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,"Shell, marine unidentifiable",General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,4,"Shell, West Indian topshell",General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,3,"Slate, unidentified",General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,Strapping,General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,5,Unidentified,General Artifacts
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,2,"Bottle, Wine style",Glass
Stewart Castle Village,3-L-06,Not Applicable,STP,P01,1,Flake,Lithic
Stewart Castle Village,3-L-07,Not Applicable,STP,,1,Pearlware,Ceramic
Stewart Castle Village,3-L-07,Not Applicable,STP,,1,Domestic Cow,Faunal
Stewart Castle Village,3-L-07,Not Applicable,STP,,1,Brick Bat,General Artifacts
Stewart Castle Village,3-L-07,Not Applicable,STP,,5,Brick Fragment,General Artifacts
Stewart Castle Village,3-L-07,Not Applicable,STP,,2,Nail,General Artifacts
Stewart Castle Village,3-L-07,Not Applicable,STP,,1,Strapping,General Artifacts
Stewart Castle Village,3-L-07,Not Applicable,STP,,3,Unidentified,General Artifacts
Stewart Castle Village,3-L-08,Not Applicable,STP,,4,Pearlware,Ceramic
Stewart Castle Village,3-L-08,Not Applicable,STP,,5,"Shell, clam",General Artifacts
Stewart Castle Village,3-L-08,Not Applicable,STP,,1,Unidentified,General Artifacts
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,16,Creamware,Ceramic
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,8,Pearlware,Ceramic
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,1,Charcoal,General Artifacts
Stewart Castle Village,3-L-09,Not Applicable,STP,P01,4,Nail,General Artifacts
